Server round: 1 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.124489799053744, num_examples=100, metrics={'accuracy': 0.63, 'cid': '32'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.7021391761670455, num_examples=100, metrics={'accuracy': 0.59, 'cid': '7'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F3D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.156777407619397, num_examples=100, metrics={'accuracy': 0.63, 'cid': '23'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9912405325452215, num_examples=100, metrics={'accuracy': 0.77, 'cid': '94'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16716D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.112250251015793, num_examples=100, metrics={'accuracy': 0.71, 'cid': '52'}))]
Server round: 2 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F460>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8649412797413024, num_examples=100, metrics={'accuracy': 0.79, 'cid': '22'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5281124958925989, num_examples=100, metrics={'accuracy': 0.81, 'cid': '80'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16711F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3870431982799205, num_examples=100, metrics={'accuracy': 0.9, 'cid': '64'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7485843169701017, num_examples=100, metrics={'accuracy': 0.75, 'cid': '5'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4998329081030921, num_examples=100, metrics={'accuracy': 0.82, 'cid': '95'}))]
Server round: 3 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671AC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.634942627547155, num_examples=100, metrics={'accuracy': 0.82, 'cid': '43'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671730>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2309640094573732, num_examples=100, metrics={'accuracy': 0.95, 'cid': '53'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5027333112939777, num_examples=100, metrics={'accuracy': 0.81, 'cid': '92'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A7C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7788623960371852, num_examples=100, metrics={'accuracy': 0.77, 'cid': '98'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F9D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7641442563755197, num_examples=100, metrics={'accuracy': 0.77, 'cid': '9'}))]
Server round: 4 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671490>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6019658334369881, num_examples=100, metrics={'accuracy': 0.76, 'cid': '59'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F880>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6007498581102448, num_examples=100, metrics={'accuracy': 0.81, 'cid': '13'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.22569023610327918, num_examples=100, metrics={'accuracy': 0.96, 'cid': '93'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671DC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9225939279633272, num_examples=100, metrics={'accuracy': 0.78, 'cid': '38'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4830086127229742, num_examples=100, metrics={'accuracy': 0.87, 'cid': '72'}))]
Server round: 5 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F100>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9436985802688291, num_examples=100, metrics={'accuracy': 0.73, 'cid': '21'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AEB0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.29618499489605, num_examples=100, metrics={'accuracy': 0.93, 'cid': '70'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5626349768222811, num_examples=100, metrics={'accuracy': 0.82, 'cid': '32'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AC40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1480453708514401, num_examples=100, metrics={'accuracy': 1.0, 'cid': '88'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41717022143052496, num_examples=100, metrics={'accuracy': 0.9, 'cid': '8'}))]
Server round: 6 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4545221363800573, num_examples=100, metrics={'accuracy': 0.89, 'cid': '72'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671F70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6021254936978013, num_examples=100, metrics={'accuracy': 0.75, 'cid': '31'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D30>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6529955648728493, num_examples=100, metrics={'accuracy': 0.78, 'cid': '39'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F1C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5205565925988342, num_examples=100, metrics={'accuracy': 0.87, 'cid': '27'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3666801382266142, num_examples=100, metrics={'accuracy': 0.88, 'cid': '95'}))]
Server round: 7 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164ADC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6430910083790623, num_examples=100, metrics={'accuracy': 0.81, 'cid': '74'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671970>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.46740580879955745, num_examples=100, metrics={'accuracy': 0.88, 'cid': '46'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8034757702885648, num_examples=100, metrics={'accuracy': 0.74, 'cid': '37'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16989A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.513284203226664, num_examples=100, metrics={'accuracy': 0.85, 'cid': '0'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.37258887936916657, num_examples=100, metrics={'accuracy': 0.91, 'cid': '81'}))]
Server round: 8 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AD60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.19266688877006344, num_examples=100, metrics={'accuracy': 0.98, 'cid': '73'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7759365883984799, num_examples=100, metrics={'accuracy': 0.82, 'cid': '17'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671E80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.42809011572652095, num_examples=100, metrics={'accuracy': 0.86, 'cid': '36'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6396553970058219, num_examples=100, metrics={'accuracy': 0.79, 'cid': '5'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F7F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5573655417164701, num_examples=100, metrics={'accuracy': 0.84, 'cid': '14'}))]
Server round: 9 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16716D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3178578816903222, num_examples=100, metrics={'accuracy': 0.89, 'cid': '52'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671280>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.09166845159829974, num_examples=100, metrics={'accuracy': 1.0, 'cid': '62'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169ED00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.22812295191125823, num_examples=100, metrics={'accuracy': 0.95, 'cid': '77'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671970>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4551046475746955, num_examples=100, metrics={'accuracy': 0.89, 'cid': '46'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F7F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5333524088097831, num_examples=100, metrics={'accuracy': 0.82, 'cid': '14'}))]
Server round: 10 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.678091981854068, num_examples=100, metrics={'accuracy': 0.78, 'cid': '90'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D30>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6318373898308698, num_examples=100, metrics={'accuracy': 0.8, 'cid': '39'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671EB0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.47235963540953724, num_examples=100, metrics={'accuracy': 0.83, 'cid': '34'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671970>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5189314015517059, num_examples=100, metrics={'accuracy': 0.86, 'cid': '46'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169EAF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.29101491488960685, num_examples=100, metrics={'accuracy': 0.92, 'cid': '85'}))]
Server round: 11 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4732153775708688, num_examples=100, metrics={'accuracy': 0.85, 'cid': '7'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16716A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.15517906575340568, num_examples=100, metrics={'accuracy': 0.99, 'cid': '54'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671F70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5999873321150264, num_examples=100, metrics={'accuracy': 0.79, 'cid': '31'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F2B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6135308954637708, num_examples=100, metrics={'accuracy': 0.84, 'cid': '26'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16989A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.46556021981010276, num_examples=100, metrics={'accuracy': 0.9, 'cid': '0'}))]
