Server round:1 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.313500671525454, num_examples=1000, metrics={'accuracy': 0.723})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.11300432276789, num_examples=1000, metrics={'accuracy': 0.723})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.2742802171270518, num_examples=1000, metrics={'accuracy': 0.68})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9DF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.1760062651050376, num_examples=1000, metrics={'accuracy': 0.733})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B45DB50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.3020872602946807, num_examples=1000, metrics={'accuracy': 0.674}))]
Server round:2 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D98B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9078215735151016, num_examples=1000, metrics={'accuracy': 0.734})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE460>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8206514378015443, num_examples=1000, metrics={'accuracy': 0.741})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B45DB50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8332980907378741, num_examples=1000, metrics={'accuracy': 0.743})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D90>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.01229369836525, num_examples=1000, metrics={'accuracy': 0.712})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8010495846811638, num_examples=1000, metrics={'accuracy': 0.759}))]
Server round:3 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6513883332721939, num_examples=1000, metrics={'accuracy': 0.791})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9DF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41453966519286156, num_examples=1000, metrics={'accuracy': 0.853})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE460>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5478720465018465, num_examples=1000, metrics={'accuracy': 0.831})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.29346126539098566, num_examples=1000, metrics={'accuracy': 0.909})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6736481461751624, num_examples=1000, metrics={'accuracy': 0.769}))]
Server round:4 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6158057681289274, num_examples=1000, metrics={'accuracy': 0.805})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6430826983041673, num_examples=1000, metrics={'accuracy': 0.807})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B45DB50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.560506107361037, num_examples=1000, metrics={'accuracy': 0.814})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D98B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6214697058978463, num_examples=1000, metrics={'accuracy': 0.817})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2773211997529174, num_examples=1000, metrics={'accuracy': 0.914}))]
Server round:5 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6138777695265148, num_examples=1000, metrics={'accuracy': 0.805})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4011494689145308, num_examples=1000, metrics={'accuracy': 0.88})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3969425716976559, num_examples=1000, metrics={'accuracy': 0.889})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D98B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6242957556101567, num_examples=1000, metrics={'accuracy': 0.805})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D90>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6663015855776756, num_examples=1000, metrics={'accuracy': 0.79}))]
Server round:6 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9DF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3312094174090939, num_examples=1000, metrics={'accuracy': 0.893})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6083944375475043, num_examples=1000, metrics={'accuracy': 0.815})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.39118764412994356, num_examples=1000, metrics={'accuracy': 0.886})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4059077869888965, num_examples=1000, metrics={'accuracy': 0.881})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D98B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5996125624537558, num_examples=1000, metrics={'accuracy': 0.825}))]
Server round:7 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D98B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5974475744267013, num_examples=1000, metrics={'accuracy': 0.814})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B45DB50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5331617538029334, num_examples=1000, metrics={'accuracy': 0.831})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2415005565504319, num_examples=1000, metrics={'accuracy': 0.934})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.37598781666274195, num_examples=1000, metrics={'accuracy': 0.893})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3846020573379382, num_examples=1000, metrics={'accuracy': 0.885}))]
Server round:8 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5939742492878749, num_examples=1000, metrics={'accuracy': 0.821})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D90>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.620944998165644, num_examples=1000, metrics={'accuracy': 0.823})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9DF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3181351674268859, num_examples=1000, metrics={'accuracy': 0.905})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.24063795914326477, num_examples=1000, metrics={'accuracy': 0.937})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5749017867569552, num_examples=1000, metrics={'accuracy': 0.826}))]
Server round:9 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D98B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5786234055130726, num_examples=1000, metrics={'accuracy': 0.826})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3748695905444208, num_examples=1000, metrics={'accuracy': 0.89})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5651654221880011, num_examples=1000, metrics={'accuracy': 0.834})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.22905222329518196, num_examples=1000, metrics={'accuracy': 0.941})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.35820644435129007, num_examples=1000, metrics={'accuracy': 0.905}))]
Server round:10 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3855558899462237, num_examples=1000, metrics={'accuracy': 0.887})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5754877641440133, num_examples=1000, metrics={'accuracy': 0.832})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3546215377538067, num_examples=1000, metrics={'accuracy': 0.895})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9DF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3050003182693524, num_examples=1000, metrics={'accuracy': 0.915})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B45DB50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4989019396360196, num_examples=1000, metrics={'accuracy': 0.844}))]
Server round:11 results:[(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE460>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4344649752910572, num_examples=1000, metrics={'accuracy': 0.877})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9D00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5456210006490094, num_examples=1000, metrics={'accuracy': 0.836})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.21449847946339115, num_examples=1000, metrics={'accuracy': 0.95})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4D9CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5529900689093228, num_examples=1000, metrics={'accuracy': 0.837})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000002463B4DE4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.36216286909306067, num_examples=1000, metrics={'accuracy': 0.896}))]
