Server round: 1 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4F70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6521251551206073, num_examples=100, metrics={'accuracy': 0.87, 'cid': '62'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F4C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.8192281540519863, num_examples=100, metrics={'accuracy': 0.6, 'cid': '12'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4E20>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.203485400362001, num_examples=100, metrics={'accuracy': 0.7, 'cid': '65'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401760>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.6971343667954295, num_examples=100, metrics={'accuracy': 0.66, 'cid': '43'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D48B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6672525865508376, num_examples=100, metrics={'accuracy': 0.83, 'cid': '88'}))]
Server round: 2 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D48B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2340848965345808, num_examples=100, metrics={'accuracy': 0.93, 'cid': '88'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4DC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6152095892704093, num_examples=100, metrics={'accuracy': 0.78, 'cid': '64'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4280>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41178083108282726, num_examples=100, metrics={'accuracy': 0.88, 'cid': '93'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E700>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.692876018408547, num_examples=100, metrics={'accuracy': 0.82, 'cid': '85'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401070>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8234912537525969, num_examples=100, metrics={'accuracy': 0.72, 'cid': '58'}))]
Server round: 3 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F820>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7085522860135366, num_examples=100, metrics={'accuracy': 0.79, 'cid': '4'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F580>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.608157559737085, num_examples=100, metrics={'accuracy': 0.77, 'cid': '19'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4C70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7934674757317957, num_examples=100, metrics={'accuracy': 0.75, 'cid': '67'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F730>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7128535835231203, num_examples=100, metrics={'accuracy': 0.77, 'cid': '5'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401190>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4009812460236795, num_examples=100, metrics={'accuracy': 0.84, 'cid': '55'}))]
Server round: 4 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E850>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8177337490181165, num_examples=100, metrics={'accuracy': 0.81, 'cid': '78'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401B50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5343105651577883, num_examples=100, metrics={'accuracy': 0.83, 'cid': '34'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740FC40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8225373769529977, num_examples=100, metrics={'accuracy': 0.78, 'cid': '11'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401C10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5585912153703398, num_examples=100, metrics={'accuracy': 0.85, 'cid': '32'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401610>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5103153928316968, num_examples=100, metrics={'accuracy': 0.86, 'cid': '46'}))]
Server round: 5 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4F70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.05742059165501288, num_examples=100, metrics={'accuracy': 1.0, 'cid': '62'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401220>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.13718544755108597, num_examples=100, metrics={'accuracy': 0.98, 'cid': '54'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F820>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6518043561047355, num_examples=100, metrics={'accuracy': 0.8, 'cid': '4'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4C40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.30571532573530985, num_examples=100, metrics={'accuracy': 0.9, 'cid': '69'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401190>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.35387848349228557, num_examples=100, metrics={'accuracy': 0.86, 'cid': '55'}))]
Server round: 6 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4E20>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5820466263120382, num_examples=100, metrics={'accuracy': 0.83, 'cid': '65'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4F10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4453348745827027, num_examples=100, metrics={'accuracy': 0.88, 'cid': '61'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3288392276246942, num_examples=100, metrics={'accuracy': 0.89, 'cid': '80'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E700>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.31291231319825497, num_examples=100, metrics={'accuracy': 0.9, 'cid': '85'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401970>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9822170036184869, num_examples=100, metrics={'accuracy': 0.77, 'cid': '38'}))]
Server round: 7 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3293932576726025, num_examples=100, metrics={'accuracy': 0.93, 'cid': '81'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E5B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4281492595499028, num_examples=100, metrics={'accuracy': 0.87, 'cid': '82'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5704135298341191, num_examples=100, metrics={'accuracy': 0.79, 'cid': '13'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D48B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.08942838676283628, num_examples=100, metrics={'accuracy': 0.99, 'cid': '88'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4C40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2905817805363568, num_examples=100, metrics={'accuracy': 0.9, 'cid': '69'}))]
Server round: 8 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D46D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3618344216839804, num_examples=100, metrics={'accuracy': 0.89, 'cid': '92'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7799848793970818, num_examples=100, metrics={'accuracy': 0.76, 'cid': '98'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.46923409380971576, num_examples=100, metrics={'accuracy': 0.88, 'cid': '2'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4B80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.36509588071595256, num_examples=100, metrics={'accuracy': 0.9, 'cid': '71'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4D90>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6714125299693119, num_examples=100, metrics={'accuracy': 0.78, 'cid': '66'}))]
Server round: 9 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4190>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7113800327409626, num_examples=100, metrics={'accuracy': 0.8, 'cid': '99'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D46D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.28097073622592533, num_examples=100, metrics={'accuracy': 0.9, 'cid': '92'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0974018B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5600519429545789, num_examples=100, metrics={'accuracy': 0.79, 'cid': '40'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5456963702354014, num_examples=100, metrics={'accuracy': 0.81, 'cid': '13'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401190>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3084463070594825, num_examples=100, metrics={'accuracy': 0.85, 'cid': '55'}))]
Server round: 10 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4B20>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.24699925251128665, num_examples=100, metrics={'accuracy': 0.89, 'cid': '70'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4400>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7718298841880469, num_examples=100, metrics={'accuracy': 0.79, 'cid': '90'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742EC10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.05225008316704195, num_examples=100, metrics={'accuracy': 1.0, 'cid': '87'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E5E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.12187614351867385, num_examples=100, metrics={'accuracy': 0.98, 'cid': '86'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E6D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.30576801607917725, num_examples=100, metrics={'accuracy': 0.9, 'cid': '76'}))]
Server round: 11 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401BE0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.43315658295946996, num_examples=100, metrics={'accuracy': 0.85, 'cid': '24'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401CA0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5823393738424445, num_examples=100, metrics={'accuracy': 0.79, 'cid': '31'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F5E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.33668724599014704, num_examples=100, metrics={'accuracy': 0.9, 'cid': '8'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401B50>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.43786078772090087, num_examples=100, metrics={'accuracy': 0.87, 'cid': '34'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401F40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5650452049250969, num_examples=100, metrics={'accuracy': 0.81, 'cid': '25'}))]
